place_id,place_name,category,rating,total_user_ratings,types,formatted_address,google_maps_url,summary,photo_name,photo_count
ChIJK_vW_PgqBDsRl61YBJHIHuY,Courtallam Five Falls,tourist_attraction,4.4,39765,tourist_attraction|point_of_interest|establishment,"Tenkasi district, Tamil Nadu, and, Punalur, Courtallam Slopes R.F., Kerala 627802, India",https://maps.google.com/?cid=16581911403193478551&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Series of 5 small cascades above a shallow pond, with separate bathing areas for men & women.",places/ChIJK_vW_PgqBDsRl61YBJHIHuY/photos/Ab43m-uz1TkuD_El3rdxZVPnWcJe4NrXfJlWVGVnX40WAQ11fvCu8ChB4Wuax4Y8bXcu7VlkQLlVaeJ5WLsOEZdYPUohn07SVKQT8dQeq72rFANniesEoUyslajcdcOjnP6SpgJvqBbEzNk7cr9zl5wNhAdfWsQsx8dK2-HBafIjuCB5YmeeiQwFL_vWDj-R5DublkcP7PcBUbX-hsXrQSSPNQHnw70Sp53HI6PKCAjBdbdXYz6m35ORLqi6eFDoUIyEI4gNvKqPj2eld9EvuWxUR2IFK4te02qVOv5Qx_OYanWNRKhQShReIzHgCKvYXnUzxT9ioKXJ2vnhEcSONGDL4zZDHZX3DGaHsT46H9INOuZxazyJXAsbxXiSTzRb9HD6hSmvGmIk_Zdwkz6nY61RR-CIyX2g9PQ4YhmOZ53BKXYIbCiF,10
ChIJYcmgkrEXrjsRLJXEahB3kOs,Indiahikes,travel_agency,4.9,13610,travel_agency|service|point_of_interest|establishment,"139, Defence Colony Rd, Defence Layout, Sahakar Nagar, Bengaluru, Karnataka 560092, India",https://maps.google.com/?cid=16974197907953849644&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJYcmgkrEXrjsRLJXEahB3kOs/photos/Ab43m-sqAlmnE6DABnLzB6fl0bWnwDNZMXbCMIFbmLCOCV9B10_yR3ndm-F_i7BS6Bx_zg8khk6Szkyrd1AL3ZHK5yCSZfeLQ-kIA3pvYU-3dfFnVKVfVA0zYK8UuYJNywY1BhL0tfdAvrXiANY38V4TIrhhxl65PrrUdbLRVRNJ-uGgMs-Cvnq9do1hA4Y9htG0wejBGH13YsJ1QAZ_EMwjeTqG6Cc3tuQFYppiF8ACYgJp1X-b2blh_gGFqRoTx22KpFzvd1gWC4YfYJpRxKUHZLZrZvbkZbl-b7qm1oVaO4OifA,10
ChIJS4UuXhkrBDsRolNUEQ3qPoI,Coutrallam Main Waterfalls,tourist_attraction,4.4,12745,tourist_attraction|point_of_interest|establishment,"W7H9+WJC, Courtallam, Tamil Nadu 627802, India",https://maps.google.com/?cid=9385196015332905890&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJS4UuXhkrBDsRolNUEQ3qPoI/photos/Ab43m-tzKVnnHYPkDCfXOagp9L5ncf3O3_EfWk7OZUvdnU8ZhvVwSTwPdlOG28YDkwPn4Hcg-_uFbI9G991308OmnmBmqwH2lXHBilIPeZu_uW7R3y2oBODYeVsYFISEyZBUW8Z1xnmFFJXcK4AV4b1A20nIOIBUKN3wGfQNnkcRtE_1hfF02ehA8K5CDiSOqQDT4R_hGch9kvunTo8cOVr1tF-Zq6eSBeGIAEB5aiNCriAeaQ-JUVMTgtHlbC4i9Dw7qcbwOYGweocsCxMKeCBQpfZ0fxkiDVNzATQ4GHa7DcW76VBO7WF_ELEmLeGYI-kLdWpEZUeXcbY0ZUFq9wlxX7MjSJlec9oUbqRRCbP0KrZyUK1ma1OUiHZb182VJpHPqhCw6aYoUF4nubJf98FA09v1xcbeCepPEX5-OnstYqg,10
ChIJq0u5QegpBDsRAjW5G91ajmk,"Arulmigu Kaasi Viswanathar Temple, Tenkasi(Pancha Kashi)",hindu_temple,4.7,12348,hindu_temple|tourist_attraction|place_of_worship|point_of_interest|association_or_organization|establishment,"X845+M4Q, E Car St, Tenkasi, Tamil Nadu 627811, India",https://maps.google.com/?cid=7606116726374741250&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Temple & pilgrimage site dedicated to Shiva & dating from the 1200s featuring a 7-tiered tower.,places/ChIJq0u5QegpBDsRAjW5G91ajmk/photos/Ab43m-slAfmYx57DBwQlrw22SriNyfRctC-LHDf8M5JETT02cp56MraUSJqDS0BOM70DVX58Q5UKQnxVoMxfWits_bKaqiloL8E6j7Z6uojCxX1F1Go38vBH43MT7oVHYK9YLovA0N8PUK6Ph1aB73o_Fzl2_qu2ctYfbARNMrfJWAs8hErfs6EG5_IwEpbUO31PULbsbxo8VjyswoUyO05R7ZOAvgjSl_xcZvW2QpuCRK2DajGG6WN1k1hU4jGedXo4INVl0EV-qwC0RyzKZYoXdJ_MvrEEdJbuQcSYKJwTbSuGjEO1a1oMC8nEiE-rgUyWp3dl-nyda2kAOOLevbRS7xxrNQIT8B3ANJknqe0m0MA6S6x1ad2ub6iALGhCPLj99SC5IxRcCC2T7-6PL8E7nzqKksaMXtbBtoputzRpHumFxANl,10
ChIJOXLCPOgpBDsR1ahseikbHMM,Ulagamman Kasi Viswanathar Kovil Tenkasi,hindu_temple,4.7,8532,hindu_temple|tourist_attraction|place_of_worship|association_or_organization|point_of_interest|establishment,"Tenkasi, Tamil Nadu 627811, India",https://maps.google.com/?cid=14059142001705396437&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJOXLCPOgpBDsR1ahseikbHMM/photos/Ab43m-sM2zYntRk2NiUxw1osvZztjfix4x99vZQnVr7wEU65h2nUw8WIEXDYww4UeLe_YlP1aaoPAHC4McQFLzU42dzaaOvuOPqdaGJ6obF09b2c0wKYYGjsFkSwAezOZ8NFS5Bq7umdpqKTcVCd_UxC_8vlpF4HCzYIM8hUAuBTa80R0tH649qCiqg8giIT5mALlowMAtNbbCG-sLuoynMU5dl14dIOhM-GWMEPqNZ8AsyPzQZ3MReSsJgdFVQf1ydKNoDugwmxpGeEpEzB9WsjF0a3x7MrzKfThb697O6jVLdvoFfuWfpodstvjZkNPkZjCWIXjFOYL8cq10SyCSMdk9sXPiwSpI-CApBL_Cz7RXNTsJwVpctdvbpmra8ZY2IPrva0U63JUoLZyO0FSMnXLZ3Rgk9QTtREzD3z4lLrYucC8g,10
ChIJEU6I6hKDBjsRvMeXfF6jNy8,Tenkasi New Bus Stand,transportation_service,3.9,8290,transportation_service|point_of_interest|establishment,"X8C2+HJ9, Tenkasi, Tamil Nadu 627811, India",https://maps.google.com/?cid=3402367669714274236&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,places/ChIJEU6I6hKDBjsRvMeXfF6jNy8/photos/Ab43m-u1t1Bi3WKKr0hNU4TDVbg4Jk5xQDq3MnFLxBXtsM9jjieg8YbHLtn0AfQ0XDYy2hWsJmzRbRiEPOkXecNZlwxomwSUTTQw_jn2QRiBSq1ZW_inC7QSTWbbrSyBFeJ8hSXipVrEk146kA5EMhObb05olUCwOCe47pvKVOvQd3tdZThT2VR0edZVq4pg3O5mndz0sokrCsj-DVvwau3vp19KUXkk3LqiX1TP_ETy1q2yPhfpBnv4f-u_coyxJpYO3riRG77JsBMq8YBaDip9EmBh2_6pS61EWDeNCoyZSB2H5C9MTkMa2H5Scdrb3fM5m5KdsVBWUbGIStCCzt7qSwvjEwzallar0dxCwxqHiNYNBDa7aa4ul0Nnr01i3EE2OCUWLyJUBSguFgxVxfhrnw52Q5Lgd5zHJ4pSKHHTCNzgoQ,10
ChIJA9XmEZaXBjsREmckXJgSs8g,Arulmigu Sankaranarayana Swamy Temple,hindu_temple,4.7,6991,hindu_temple|tourist_attraction|place_of_worship|point_of_interest|association_or_organization|establishment,"5GCM+92C, Ayyanar Temple Rd, Sankarankoil, Tamil Nadu 627756, India",https://maps.google.com/?cid=14461923274007013138&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Ancient Hindu temple with an ornately carved, colourful facade, along with a pond & statues.",places/ChIJA9XmEZaXBjsREmckXJgSs8g/photos/Ab43m-sb6jhVxeAGCS-GivVcvPabkhTwfBGm347Z_kPQLTqUxyvdf5ThDJ2hz_2h1XjwngRZiN56e2D1JoxZ37v5k-q-TZcde83MUTIbMl-31ZGzv_zobu32HxAQaSsXYrWZt-btzOY2BlJnKmuRGXUDuj2I4DxIOnn3TYtm6GKP8Ue6-yQQFbDq7aj8eNC8XV3mwhm_gZJO_WcGtxBhTRapYkwylLvtHhS_CiyyB1tXIYGQyvvDjJDhvC7VRcea8dF9ODaqoaXWKR3kaC55kalq6ck8Gnv2-7bFHs1oTmSOZV_ot4zfZet2zt4fqcO4FxBocomU4CV8gg29ZM9Fcbabmu3sv8TXydSn9EeoUo8aQiZq_6VRVmX80WxNaiuTGr6eSZVXTBB33dyPXi7BtBxi1O9Tl3zjSXJG0i_8LVbYt0GWlw,10
ChIJSbdL6FwpBDsRe3ls0A6mwDI,Old Courtallam Falls,tourist_attraction,4.5,6259,tourist_attraction|massage_spa|spa|massage|point_of_interest|service|establishment,"V7XW+W7F, Tigar Falls Road, arch, Pulichikulam, Courtallam Slopes R.F., Tamil Nadu 627814, India",https://maps.google.com/?cid=3657105479981365627&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Tall waterfall that drops into an area featuring separate bathing pools for men & women.,places/ChIJSbdL6FwpBDsRe3ls0A6mwDI/photos/Ab43m-tJ5m1vOQ0DRROAQvtqc0SIRs5QrKnqVkU2lzJ-8aYGZxATogUenmTpDp7o_-GXEYTVmbWSlkTCJEI-jIEkduqmtGhIYu7IaX7tkHO6W5I2WxJMzHkv4kCzyIEG1p66bJVg4N1oqAoAOoNtGshkmUanZCQguaxiC3UqSXSHkRNP-dQOTi-MwycRfLrZG8mQoD8pwJJdu7Bla0BB5kefjafZ1Z8Sgn1eQiX3EoX-oAkQh_maDWep4vE3ONRdu7-C4ORYJZwxHo3as5LAEMxB1wepxlyh94Wh-G6rdie8rgtCJfvypIucuYsG3nTYBDeP9qUSsc_e2UxgRMMPVHBDJ0qPQYn5aZuwsG9HNqaz4v6RF0_8T1_E4xtnzlenHVBDlaQPiLVpyp0Zg6TJ4mBQUh-wgCFqYbWkueCbtAmiSLndDqk,10
ChIJ1WAtoyzvBTsR_KDWpC-b72Q,Sivagiri Mutt,place_of_worship,4.6,5616,place_of_worship|association_or_organization|health|point_of_interest|establishment,"Sivagiri Rd, Varkala, Kerala 695141, India",https://maps.google.com/?cid=7273202552157937916&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Religious center with a prayer hall, ornate temples & accommodation, surrounded by trees.",places/ChIJ1WAtoyzvBTsR_KDWpC-b72Q/photos/Ab43m-uJCOhOn3QhbSQiqTFcTVQbCoe24ZR3MgAi0y7entDg9dToYtuB9Mb45UM79CX3ha2qLLRLGLbr7EcCuQoNE7J6EkmwdRCiCF_Nxurg1K32hNjU3Rf9nhKPEYLyFdzNZ-8VVx2vDUJ4ZX4SCphxu02omU3hJCegtIvbhwMsAlInkhl-oEt70vLdl1-mD7oNg5ddF5cMw9ScCXI8PnVKzDGNqJkKE3PX-IzPFESnUTPfUbU6mGIHcPDgrwhJ0i9z6DF01IMqVGFSst6tMYN6mKvnOpUoZ0E93H6Qv2FwpLT3CBlO_YCxVZWtrq_T2bSbH0lSO2rNjXevH6MEAvXjS-FDjBjINHIRs4AIHEEVlSY12T9Ia3ETqoZ-4PPsHNhxu4qr92qELfzhNBgHOMTUAzjyM7QyL_75uMrLRFP9JfAyjzc,10
ChIJs0Wor3DVBTsR3EUyE5eY0po,Palaruvi Waterfalls,tourist_attraction,4.5,5402,tourist_attraction|point_of_interest|establishment,"W5R8+R2M, Rd to Palaruvi Waterfalls, Palaruvi, Kerala 691309, India",https://maps.google.com/?cid=11156147001579685340&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,"Waterfall tumbling down a sheer rock face, with a walkway to a viewing platform & picnic areas.",places/ChIJs0Wor3DVBTsR3EUyE5eY0po/photos/Ab43m-tyHyYQ8gLqw_CXqFKNCAcESDOOGocRZKEoeB2MN4nijVVHLFPWXHKO78HPiEuIO5n9MStXF9_dTSaTT5hwybFNRhO2b_2iP058GGgFOB3_1Y6t2m-HRaRrL_4LMyBeOHtNvfwLHJ-FuBTA2vtZlYGWROt0IGe5uK_lXLCOqkJY5v0Uyvo9GOka1emNRbcR-YHLOzP0aAmx4WW9GipvDgOW0x13LnsfwGX4T5mVMjLQ9ti4bhU371ezoqUAvvHdC7aT3WxX4xVfXKQIsDH3P01UwOYgbbtF3y_keJDlHMnDSeoWgpnvoKCJeHryDfkr1IIP6kdpOBdplDoFD0QyYA423MvFxq3T-9jq7B2PXjho7is0o9zovNpt-XKNQEtlvNj92NifLfu6thK3ENUKT9DoUyanLBES7l4dqzaaVUCwRz5i,10
