node1,node2,relationship_type,weight
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJs0Wor3DVBTsR3EUyE5eY0po,co_reviewed_place,7.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJVwjgd1i0BzsRblc5epBLSdk,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ5U3FUsN6BzsRXLUT1A2krkE,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJYX7Kl4vtBDsR039NLAJ_YqA,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJw7X27VwpBDsREcsa7LVsoOo,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ8YVwxCXWBTsRvT3uZ68XOd4,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJs-vSFNY3BDsR89RjoQRctKQ,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJpYX5oKS0BzsRCF-SFs2O4X4,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJr_DnasZDBDsRdHpzZHl96h0,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ1S7Asz1_BjsRHMPTvhPcsew,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJEcufPSnWBTsRxy-_bLmZmH8,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJp799eI9HBDsR3P-8VWdE1GY,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ4_X9FJh9BjsR_17bRtA6rsQ,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJx3oBXj-HBjsRE_nhoTDm7QE,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJmx_yi8kHBzsR2s_M3Lsl5qY,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJITuH6jEoBDsRU0_yLDXVRqo,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJWf8oCTHWBTsRPiZtpzQjC0Q,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJA771Nu19BjsRu-mZnMyN80c,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ_9tz5U4qBDsRge10f2JIiNM,co_reviewed_place,3.35
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJKxkbwjYqBDsRm9JusPV_SjQ,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJH0lvh7pfBDsR4JZ68aVoA5A,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJYYLr_vB_BjsRgDn7xtJVMDQ,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJGdrFgPSFBjsRhm_nL3wfsO8,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJQ1jykPgqBDsRWh_K8EP8SzM,co_reviewed_place,3.62
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ308m0RKDBjsRZ0cQTKNjysU,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJzwJEEgjnBjsR0AN97RqwiyM,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ2eXb9TDWBTsRApB9tySLwcY,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJMQJVGvJDBDsRlDNht-TnmEc,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ____vx8uBDsRdy596_hZp7Y,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ695M_corBDsRnPDPpXIaNdY,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJJ329cx82BDsRg4-Ca4VCsmE,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ9dVwpNXlBjsRYDGYo7XkJsE,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJwW9191LmBjsRkZD5R5tjbhc,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJT0cJOkIvBDsRp3Dc1hZZjns,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJJ2IpcmrdBjsRiMBIP75mPrI,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJWbtqLwArBDsRGyMHNLc54jA,co_reviewed_place,5.282
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJM0QzRSjWBTsRnN8-I46qXuE,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ0xaj02V5BjsRnOSAKrKLr0c,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJR_7XweMrBDsR-Deh8t3QKaE,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJRYY_rQGBBjsRFzW_3wD1zIc,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJZ-zxuGY9BDsRrMy860z5NG8,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJK0NZsjHWBTsRmQc2zfFZbdw,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ03S4wKcqBDsR8SJ8qShQuVA,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJjU74dBhdBDsRI5lqEHTos7M,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ6595L7OPBjsRpsrMEvpp2oM,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJNTlP4oYvBDsRzFjXuufmSLA,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJxQpqzU5_BjsRqcYtZsnj2bA,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ55TLRMQpBDsR2NtNHVFpAbA,co_reviewed_place,3.35
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ_TQF9R4VBDsRrCuTbflWOow,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJdxLncnIpBDsRVTR-LGvw5IE,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJdXZuOVN1BDsRo4MXhjggCPw,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJl59G2XAvBDsRItkS__oPRJw,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ681py5edBjsRbgFCDabz7qc,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJNd6V4hQpBDsRdin5ED4v_gk,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJa2HAxYaBBjsRLEYXjUoKnoo,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ-a4Fh485BDsReE8HkiZ5qBg,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJWRNsgJU3BDsRSULsvBpnuQs,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJQ96D1M8rBDsRqt6w84FGNmw,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJHfKoNpbtBjsRbySESoZ8Eqc,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJn6PVEciBBjsRUaH9qRKGb0A,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJW6hgB1-DBjsRtONaTppN-qM,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJq6raASnWBTsRg6MRD__traA,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJzToWHj8pBDsRNvVdi62xu1g,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ4_gKm7MrBDsRKsWWQp_WprM,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJLRKQ_zkpBDsR2Ss9Ye4itMg,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJOUefPGkxBDsRLVNIHIf6eAw,co_reviewed_place,3.35
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJp6hF5x4rBDsRl1Fk7DNCBUg,co_reviewed_place,3.35
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ59WpP4UpBDsR5oYgTYmyhno,co_reviewed_place,3.85
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place::ChIJ36JWOwC5BjsRugbLvK0JrnA,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJq0u5QegpBDsRAjW5G91ajmk,co_reviewed_place,10.25
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJA9XmEZaXBjsREmckXJgSs8g,co_reviewed_place,4.0
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJs0Wor3DVBTsR3EUyE5eY0po,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJh_EnhcOABjsRHN91tNw1LuI,co_reviewed_place,6.25
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJVwjgd1i0BzsRblc5epBLSdk,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJ5U3FUsN6BzsRXLUT1A2krkE,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJYX7Kl4vtBDsR039NLAJ_YqA,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJw7X27VwpBDsREcsa7LVsoOo,co_reviewed_place,5.136
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJ8YVwxCXWBTsRvT3uZ68XOd4,co_reviewed_place,7.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJs-vSFNY3BDsR89RjoQRctKQ,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJpYX5oKS0BzsRCF-SFs2O4X4,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJr_DnasZDBDsRdHpzZHl96h0,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJ1S7Asz1_BjsRHMPTvhPcsew,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJEcufPSnWBTsRxy-_bLmZmH8,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJp799eI9HBDsR3P-8VWdE1GY,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJ4_X9FJh9BjsR_17bRtA6rsQ,co_reviewed_place,3.85
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,co_reviewed_place,5.725
