node,graph_name,node_type,place_id,label,category,rating,total_user_ratings,formatted_address,taluk,micro_region
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,place_network,place,ChIJK_vW_PgqBDsRl61YBJHIHuY,Courtallam Five Falls,tourist_attraction,4.4,39765,"Tenkasi district, Tamil Nadu, and, Punalur, Courtallam Slopes R.F., Kerala 627802, India",Tenkasi,Tenkasi
place::ChIJYcmgkrEXrjsRLJXEahB3kOs,place_network,place,ChIJYcmgkrEXrjsRLJXEahB3kOs,Indiahikes,travel_agency,4.9,13610,"139, Defence Colony Rd, Defence Layout, Sahakar Nagar, Bengaluru, Karnataka 560092, India",Tenkasi,Tenkasi
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,place_network,place,ChIJS4UuXhkrBDsRolNUEQ3qPoI,Coutrallam Main Waterfalls,tourist_attraction,4.4,12745,"W7H9+WJC, Courtallam, Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJq0u5QegpBDsRAjW5G91ajmk,place_network,place,ChIJq0u5QegpBDsRAjW5G91ajmk,"Arulmigu Kaasi Viswanathar Temple, Tenkasi(Pancha Kashi)",hindu_temple,4.7,12348,"X845+M4Q, E Car St, Tenkasi, Tamil Nadu 627811, India",Tenkasi,Tenkasi
place::ChIJOXLCPOgpBDsR1ahseikbHMM,place_network,place,ChIJOXLCPOgpBDsR1ahseikbHMM,Ulagamman Kasi Viswanathar Kovil Tenkasi,hindu_temple,4.7,8532,"Tenkasi, Tamil Nadu 627811, India",Tenkasi,Tenkasi
place::ChIJEU6I6hKDBjsRvMeXfF6jNy8,place_network,place,ChIJEU6I6hKDBjsRvMeXfF6jNy8,Tenkasi New Bus Stand,transportation_service,3.9,8290,"X8C2+HJ9, Tenkasi, Tamil Nadu 627811, India",Tenkasi,Tenkasi
place::ChIJA9XmEZaXBjsREmckXJgSs8g,place_network,place,ChIJA9XmEZaXBjsREmckXJgSs8g,Arulmigu Sankaranarayana Swamy Temple,hindu_temple,4.7,6991,"5GCM+92C, Ayyanar Temple Rd, Sankarankoil, Tamil Nadu 627756, India",Sankarankovil,Sankarankovil
place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,place_network,place,ChIJSbdL6FwpBDsRe3ls0A6mwDI,Old Courtallam Falls,tourist_attraction,4.5,6259,"V7XW+W7F, Tigar Falls Road, arch, Pulichikulam, Courtallam Slopes R.F., Tamil Nadu 627814, India",Tenkasi,Tenkasi
place::ChIJ1WAtoyzvBTsR_KDWpC-b72Q,place_network,place,ChIJ1WAtoyzvBTsR_KDWpC-b72Q,Sivagiri Mutt,place_of_worship,4.6,5616,"Sivagiri Rd, Varkala, Kerala 695141, India",Sivagiri,Sivagiri
place::ChIJs0Wor3DVBTsR3EUyE5eY0po,place_network,place,ChIJs0Wor3DVBTsR3EUyE5eY0po,Palaruvi Waterfalls,tourist_attraction,4.5,5402,"W5R8+R2M, Rd to Palaruvi Waterfalls, Palaruvi, Kerala 691309, India",Tenkasi,Tenkasi
place::ChIJh_EnhcOABjsRHN91tNw1LuI,place_network,place,ChIJh_EnhcOABjsRHN91tNw1LuI,Arulmigu Thirumalai Kumaraswamy Temple,hindu_temple,4.7,5079,"26PG+C65, Thirumalaikoil Rd, Thenpothai, Tamil Nadu 627807, India",Tenkasi,Tenkasi
place::ChIJVwjgd1i0BzsRblc5epBLSdk,place_network,place,ChIJVwjgd1i0BzsRblc5epBLSdk,Karikadu View Point,tourist_attraction,4.4,4771,"SH14, Elappara Road, Erattupetta, Vagamon, Kerala 686580, India",Tenkasi,Tenkasi
place::ChIJ5U3FUsN6BzsRXLUT1A2krkE,place_network,place,ChIJ5U3FUsN6BzsRXLUT1A2krkE,Mannavanur Lake,tourist_attraction,4.6,3642,"69F6+X6G Elumpallam Lake, Mannavanur, Tamil Nadu 624103, India",Tenkasi,Tenkasi
place::ChIJq_30syfHBTsRDN_ppvdu-Qw,place_network,place,ChIJq_30syfHBTsRDN_ppvdu-Qw,Happyland Water Theme & Amusement Park,amusement_park,3.7,3418,"Kuthirakulam P.O, Manikkal, Vembayam, Kerala 695615, India",Tenkasi,Tenkasi
place::ChIJYX7Kl4vtBDsR039NLAJ_YqA,place_network,place,ChIJYX7Kl4vtBDsR039NLAJ_YqA,Sunset View Point,tourist_attraction,4.5,3377,"Beach Rd, Kanniyakumari, Tamil Nadu 629702, India",Tenkasi,Tenkasi
place::ChIJw7X27VwpBDsREcsa7LVsoOo,place_network,place,ChIJw7X27VwpBDsREcsa7LVsoOo,Palaya Kutraalam,tourist_attraction,4.5,3321,"V7XW+X8Q, Courtallam Slopes R.F., Tamil Nadu 627814, India",Tenkasi,Tenkasi
place::ChIJ8YVwxCXWBTsRvT3uZ68XOd4,place_network,place,ChIJ8YVwxCXWBTsRvT3uZ68XOd4,Thenmala Dam,tourist_attraction,4.3,3163,"X339+MWX, Thenmala, Kerala 691308, India",Tenkasi,Tenkasi
place::ChIJ0c7lGSrWBTsRkBSbPcVBkXY,place_network,place,ChIJ0c7lGSrWBTsRkBSbPcVBkXY,Thenmala Ecotourism,tour_agency,4.1,2818,"Thiruvanathapuram-Thenmala Road, Kollam - Punalur - Tenkasi, Thenmala, Kerala 691308, India",Tenkasi,Tenkasi
place::ChIJs-vSFNY3BDsR89RjoQRctKQ,place_network,place,ChIJs-vSFNY3BDsR89RjoQRctKQ,Agasthiyar Falls,tourist_attraction,4.6,2486,"P937+JC, Papanasam, Tamil Nadu 627425, India",Tenkasi,Tenkasi
place::ChIJD78c1f55TToRGLpH8xxbK4A,place_network,place,ChIJD78c1f55TToRGLpH8xxbK4A,Exoticamp,childrens_camp,4.8,2403,"Muttukkaranchavadi, Thoraipakkam, Chennai, Tamil Nadu 600097, India",Tenkasi,Tenkasi
place::ChIJpYX5oKS0BzsRCF-SFs2O4X4,place_network,place,ChIJpYX5oKS0BzsRCF-SFs2O4X4,Thangalpara,tourist_attraction,4.5,2208,"MW85+65F, Vagamon, Kerala 685501, India",Tenkasi,Tenkasi
place::ChIJr_DnasZDBDsRdHpzZHl96h0,place_network,place,ChIJr_DnasZDBDsRdHpzZHl96h0,Kalakad Thalayanai,tourist_attraction,4.5,2205,"GGG3+J6P, Kalakadu R.F, Tamil Nadu 627501, India",Tenkasi,Tenkasi
place::ChIJ1S7Asz1_BjsRHMPTvhPcsew,place_network,place,ChIJ1S7Asz1_BjsRHMPTvhPcsew,Thenmala Reserve Forest,tourist_attraction,4.4,2182,"248P+VR6, Rd to Palaruvi Waterfalls, Kerala, India",Tenkasi,Tenkasi
place::ChIJEcufPSnWBTsRxy-_bLmZmH8,place_network,place,ChIJEcufPSnWBTsRxy-_bLmZmH8,Leisure Zone and Sculpture Garden,tourist_attraction,4.1,2141,"X347+QJ9, Thenmala, Kerala 691308, India",Tenkasi,Tenkasi
place::ChIJj5J6tMg2BDsRz7ctSBm1ssY,place_network,place,ChIJj5J6tMg2BDsRz7ctSBm1ssY,Mundanthurai Tiger Reserve,national_park,4.4,2081,"Ambasamudram - Papanasam - Upper Dam Rd, Papanasam R.F., Tamil Nadu 627425, India",Tenkasi,Tenkasi
place::ChIJKdfVQHx4BjsRaFlls0YJF5k,place_network,place,ChIJKdfVQHx4BjsRaFlls0YJF5k,Deer Park | Thenmala,zoo,3.9,1937,"X382+PW3, Kollam - Thirumangalam Rd, Thenmala, Kerala 691308, India",Tenkasi,Tenkasi
