node1,node2,relationship_type,weight
user::hassan_sowkath,user::mohammed_nayeem,co_reviewed_user,1.0
user::hassan_sowkath,user::mukilan_s,co_reviewed_user,1.0
user::hassan_sowkath,user::pooshan_d,co_reviewed_user,1.0
user::hassan_sowkath,user::shotsby_senthil,co_reviewed_user,1.0
user::hassan_sowkath,user::nadarajan_muthukumarasamy,co_reviewed_user,1.0
user::hassan_sowkath,user::ramakrishnan_v,co_reviewed_user,1.0
user::hassan_sowkath,user::rijas_galleria,co_reviewed_user,1.0
user::hassan_sowkath,user::sethu_m,co_reviewed_user,1.0
user::mohammed_nayeem,user::mukilan_s,co_reviewed_user,1.0
user::mohammed_nayeem,user::pooshan_d,co_reviewed_user,1.0
user::mohammed_nayeem,user::shotsby_senthil,co_reviewed_user,1.0
user::mukilan_s,user::pooshan_d,co_reviewed_user,1.0
user::mukilan_s,user::shotsby_senthil,co_reviewed_user,1.0
user::mukilan_s,user::deva_pavi,co_reviewed_user,1.0
user::mukilan_s,user::future_tricks2_0,co_reviewed_user,1.0
user::mukilan_s,user::ganesh_m,co_reviewed_user,1.0
user::mukilan_s,user::muhammed_salih_ahamed_athaullah,co_reviewed_user,1.0
user::pooshan_d,user::shotsby_senthil,co_reviewed_user,1.0
user::shotsby_senthil,user::dinesh_e,co_reviewed_user,1.0
user::shotsby_senthil,user::selva_selva,co_reviewed_user,1.0
user::shotsby_senthil,user::writer_and_traveller,co_reviewed_user,1.0
user::shotsby_senthil,user::ச_ர_ந_தர__க_ம_ர,co_reviewed_user,1.0
user::shotsby_senthil,user::esakki_raj,co_reviewed_user,1.0
user::shotsby_senthil,user::mani_kandan,co_reviewed_user,1.0
user::shotsby_senthil,user::mani_kandan_s,co_reviewed_user,1.0
user::shotsby_senthil,user::sakthivel_p,co_reviewed_user,1.0
user::shotsby_senthil,user::akhil_das,co_reviewed_user,1.0
user::shotsby_senthil,user::aswin,co_reviewed_user,1.0
user::shotsby_senthil,user::rahul_hari,co_reviewed_user,1.0
user::shotsby_senthil,user::raji_ramya,co_reviewed_user,1.0
user::beardless_tripy_venkateshprasath,user::gowri_shankar,co_reviewed_user,1.0
user::beardless_tripy_venkateshprasath,user::pooja_devi,co_reviewed_user,1.0
user::beardless_tripy_venkateshprasath,user::saravanan_manohar,co_reviewed_user,1.0
user::beardless_tripy_venkateshprasath,user::stella_sharon,co_reviewed_user,1.0
user::gowri_shankar,user::pooja_devi,co_reviewed_user,1.0
user::gowri_shankar,user::saravanan_manohar,co_reviewed_user,1.0
user::gowri_shankar,user::stella_sharon,co_reviewed_user,1.0
user::pooja_devi,user::saravanan_manohar,co_reviewed_user,1.0
user::pooja_devi,user::stella_sharon,co_reviewed_user,1.0
user::pooja_devi,user::anu,co_reviewed_user,1.0
user::pooja_devi,user::g_t_g,co_reviewed_user,1.0
user::pooja_devi,user::ganesh_m,co_reviewed_user,1.0
user::pooja_devi,user::sarath_kumar_s,co_reviewed_user,1.0
user::saravanan_manohar,user::stella_sharon,co_reviewed_user,1.0
user::athulya_vijayan,user::hari_trivedi,co_reviewed_user,1.0
user::athulya_vijayan,user::raghu_b,co_reviewed_user,1.0
user::athulya_vijayan,user::raj_p,co_reviewed_user,1.0
user::athulya_vijayan,user::ramesh_kumar,co_reviewed_user,1.0
user::hari_trivedi,user::raghu_b,co_reviewed_user,2.0
user::hari_trivedi,user::raj_p,co_reviewed_user,1.0
user::hari_trivedi,user::ramesh_kumar,co_reviewed_user,1.0
user::hari_trivedi,user::akhilesh_prajapati,co_reviewed_user,1.0
user::hari_trivedi,user::narayanamurthy_subramanian,co_reviewed_user,1.0
user::hari_trivedi,user::shibin_as,co_reviewed_user,1.0
user::hari_trivedi,user::manueeé,co_reviewed_user,1.0
user::hari_trivedi,user::nidhin_d,co_reviewed_user,1.0
user::hari_trivedi,user::sagar_sadanandan,co_reviewed_user,1.0
user::hari_trivedi,user::velayudhan_vijayan,co_reviewed_user,1.0
user::raghu_b,user::raj_p,co_reviewed_user,1.0
user::raghu_b,user::ramesh_kumar,co_reviewed_user,2.0
user::raghu_b,user::akhilesh_prajapati,co_reviewed_user,1.0
user::raghu_b,user::narayanamurthy_subramanian,co_reviewed_user,1.0
user::raghu_b,user::shibin_as,co_reviewed_user,1.0
user::raghu_b,user::pratheesh_harish,co_reviewed_user,1.0
user::raghu_b,user::rijas_galleria,co_reviewed_user,1.0
user::raghu_b,user::sarath_kumar_s,co_reviewed_user,1.0
user::raghu_b,user::chitra_murali,co_reviewed_user,1.0
user::raghu_b,user::rahul_s,co_reviewed_user,1.0
user::raghu_b,user::sathishkumar_balakrishnan,co_reviewed_user,1.0
user::raghu_b,user::venkat,co_reviewed_user,1.0
user::raj_p,user::ramesh_kumar,co_reviewed_user,1.0
user::ramesh_kumar,user::pratheesh_harish,co_reviewed_user,1.0
user::ramesh_kumar,user::rijas_galleria,co_reviewed_user,1.0
user::ramesh_kumar,user::sarath_kumar_s,co_reviewed_user,1.0
user::akhilesh_prajapati,user::narayanamurthy_subramanian,co_reviewed_user,1.0
user::akhilesh_prajapati,user::shibin_as,co_reviewed_user,1.0
user::akhilesh_prajapati,user::aravind_r_chandran,co_reviewed_user,1.0
user::akhilesh_prajapati,user::blessy_babu,co_reviewed_user,1.0
user::akhilesh_prajapati,user::greewin_mathew,co_reviewed_user,1.0
user::akhilesh_prajapati,user::joshith_jacob,co_reviewed_user,1.0
user::narayanamurthy_subramanian,user::shibin_as,co_reviewed_user,1.0
user::abhishek_anil,user::senthil_kumar_manickam,co_reviewed_user,1.0
user::abhishek_anil,user::sesha_srinivasa_murthy_putrevu,co_reviewed_user,1.0
