node,graph_name,node_type,place_id,label,category,rating,total_user_ratings
place::ChIJK_vW_PgqBDsRl61YBJHIHuY,user_place_bipartite,place,ChIJK_vW_PgqBDsRl61YBJHIHuY,Courtallam Five Falls,tourist_attraction,4.4,39765.0
place::ChIJYcmgkrEXrjsRLJXEahB3kOs,user_place_bipartite,place,ChIJYcmgkrEXrjsRLJXEahB3kOs,Indiahikes,travel_agency,4.9,13610.0
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,user_place_bipartite,place,ChIJS4UuXhkrBDsRolNUEQ3qPoI,Coutrallam Main Waterfalls,tourist_attraction,4.4,12745.0
place::ChIJq0u5QegpBDsRAjW5G91ajmk,user_place_bipartite,place,ChIJq0u5QegpBDsRAjW5G91ajmk,"Arulmigu Kaasi Viswanathar Temple, Tenkasi(Pancha Kashi)",hindu_temple,4.7,12348.0
place::ChIJOXLCPOgpBDsR1ahseikbHMM,user_place_bipartite,place,ChIJOXLCPOgpBDsR1ahseikbHMM,Ulagamman Kasi Viswanathar Kovil Tenkasi,hindu_temple,4.7,8532.0
place::ChIJEU6I6hKDBjsRvMeXfF6jNy8,user_place_bipartite,place,ChIJEU6I6hKDBjsRvMeXfF6jNy8,Tenkasi New Bus Stand,transportation_service,3.9,8290.0
place::ChIJA9XmEZaXBjsREmckXJgSs8g,user_place_bipartite,place,ChIJA9XmEZaXBjsREmckXJgSs8g,Arulmigu Sankaranarayana Swamy Temple,hindu_temple,4.7,6991.0
place::ChIJSbdL6FwpBDsRe3ls0A6mwDI,user_place_bipartite,place,ChIJSbdL6FwpBDsRe3ls0A6mwDI,Old Courtallam Falls,tourist_attraction,4.5,6259.0
place::ChIJ1WAtoyzvBTsR_KDWpC-b72Q,user_place_bipartite,place,ChIJ1WAtoyzvBTsR_KDWpC-b72Q,Sivagiri Mutt,place_of_worship,4.6,5616.0
place::ChIJs0Wor3DVBTsR3EUyE5eY0po,user_place_bipartite,place,ChIJs0Wor3DVBTsR3EUyE5eY0po,Palaruvi Waterfalls,tourist_attraction,4.5,5402.0
place::ChIJh_EnhcOABjsRHN91tNw1LuI,user_place_bipartite,place,ChIJh_EnhcOABjsRHN91tNw1LuI,Arulmigu Thirumalai Kumaraswamy Temple,hindu_temple,4.7,5079.0
place::ChIJVwjgd1i0BzsRblc5epBLSdk,user_place_bipartite,place,ChIJVwjgd1i0BzsRblc5epBLSdk,Karikadu View Point,tourist_attraction,4.4,4771.0
place::ChIJ5U3FUsN6BzsRXLUT1A2krkE,user_place_bipartite,place,ChIJ5U3FUsN6BzsRXLUT1A2krkE,Mannavanur Lake,tourist_attraction,4.6,3642.0
place::ChIJq_30syfHBTsRDN_ppvdu-Qw,user_place_bipartite,place,ChIJq_30syfHBTsRDN_ppvdu-Qw,Happyland Water Theme & Amusement Park,amusement_park,3.7,3418.0
place::ChIJYX7Kl4vtBDsR039NLAJ_YqA,user_place_bipartite,place,ChIJYX7Kl4vtBDsR039NLAJ_YqA,Sunset View Point,tourist_attraction,4.5,3377.0
place::ChIJw7X27VwpBDsREcsa7LVsoOo,user_place_bipartite,place,ChIJw7X27VwpBDsREcsa7LVsoOo,Palaya Kutraalam,tourist_attraction,4.5,3321.0
place::ChIJ8YVwxCXWBTsRvT3uZ68XOd4,user_place_bipartite,place,ChIJ8YVwxCXWBTsRvT3uZ68XOd4,Thenmala Dam,tourist_attraction,4.3,3163.0
place::ChIJ0c7lGSrWBTsRkBSbPcVBkXY,user_place_bipartite,place,ChIJ0c7lGSrWBTsRkBSbPcVBkXY,Thenmala Ecotourism,tour_agency,4.1,2818.0
place::ChIJs-vSFNY3BDsR89RjoQRctKQ,user_place_bipartite,place,ChIJs-vSFNY3BDsR89RjoQRctKQ,Agasthiyar Falls,tourist_attraction,4.6,2486.0
place::ChIJD78c1f55TToRGLpH8xxbK4A,user_place_bipartite,place,ChIJD78c1f55TToRGLpH8xxbK4A,Exoticamp,childrens_camp,4.8,2403.0
place::ChIJpYX5oKS0BzsRCF-SFs2O4X4,user_place_bipartite,place,ChIJpYX5oKS0BzsRCF-SFs2O4X4,Thangalpara,tourist_attraction,4.5,2208.0
place::ChIJr_DnasZDBDsRdHpzZHl96h0,user_place_bipartite,place,ChIJr_DnasZDBDsRdHpzZHl96h0,Kalakad Thalayanai,tourist_attraction,4.5,2205.0
place::ChIJ1S7Asz1_BjsRHMPTvhPcsew,user_place_bipartite,place,ChIJ1S7Asz1_BjsRHMPTvhPcsew,Thenmala Reserve Forest,tourist_attraction,4.4,2182.0
place::ChIJEcufPSnWBTsRxy-_bLmZmH8,user_place_bipartite,place,ChIJEcufPSnWBTsRxy-_bLmZmH8,Leisure Zone and Sculpture Garden,tourist_attraction,4.1,2141.0
place::ChIJj5J6tMg2BDsRz7ctSBm1ssY,user_place_bipartite,place,ChIJj5J6tMg2BDsRz7ctSBm1ssY,Mundanthurai Tiger Reserve,national_park,4.4,2081.0
place::ChIJKdfVQHx4BjsRaFlls0YJF5k,user_place_bipartite,place,ChIJKdfVQHx4BjsRaFlls0YJF5k,Deer Park | Thenmala,zoo,3.9,1937.0
