node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,pagerank,hits_hub,hits_authority,label,node_type,average_rank
place::ChIJxQpqzU5_BjsRqcYtZsnj2bA,0.49056603773584906,0.016904174296101682,0.5516991484846132,0.0,0.11508951299620133,0.011302532478803383,0.014488524949552597,0.01448852494955259,Bhagavathipuram water falls,place,4.875
place::ChIJWbtqLwArBDsRGyMHNLc54jA,0.49056603773584906,0.01510628134702651,0.5778572977662112,0.0,0.11118746094637255,0.010847509891985338,0.014166203267613522,0.014166203267613526,Main falls Arch,place,6.375
place::ChIJ4_gKm7MrBDsRKsWWQp_WprM,0.4968553459119497,0.01427699493140142,0.5539788970320703,0.0,0.11392908092363269,0.01082032543779029,0.014362701073260653,0.014362701073260648,TR FALLS,place,6.5
place::ChIJYYLr_vB_BjsRgDn7xtJVMDQ,0.48427672955974843,0.0074569434493007465,0.5778572977662112,0.0,0.11488764328423368,0.011203083883037005,0.014506626089590977,0.014506626089590972,Kottavasal View Point,place,7.75
place::ChIJs-vSFNY3BDsR89RjoQRctKQ,0.48427672955974843,0.03720510575060373,0.58542748070638,0.0,0.10951287331053583,0.010117308865985029,0.01380247874490568,0.013802478744905686,Agasthiyar Falls,place,8.375
place::ChIJNd6V4hQpBDsRdin5ED4v_gk,0.48427672955974843,0.0027864023565002784,0.5449711100884594,0.0,0.11969848204486207,0.010241024068511226,0.014641170144037263,0.014641170144037262,Falls,place,12.625
place::ChIJNTlP4oYvBDsRzFjXuufmSLA,0.4779874213836478,0.014807738237401474,0.5427647493188705,0.0,0.10829766687386641,0.01085051964912652,0.013674217079199833,0.013674217079199833,Ramanathi River View Point,place,13.25
place::ChIJS4UuXhkrBDsRolNUEQ3qPoI,0.4779874213836478,0.009732505373775976,0.5449711100884594,0.0,0.1071721156933616,0.010701790917632674,0.013833938174253838,0.013833938174253838,Coutrallam Main Waterfalls,place,15.375
place::ChIJ2eXb9TDWBTsRApB9tySLwcY,0.46540880503144655,0.016559191147201655,0.523683176100629,0.0,0.1124785285919014,0.009680392623292842,0.013822528114200887,0.013822528114200884,"Dam Boating Point, Thenmala,Kollam",place,16.5
place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,0.4779874213836478,0.020232693029444877,0.536251572327044,0.0,0.10726318765951,0.010113354136445157,0.013494805793516456,0.013494805793516454,Tiger Falls,place,17.75
place::ChIJ03S4wKcqBDsR8SJ8qShQuVA,0.48427672955974843,0.010654671867951063,0.5494380864006598,0.0,0.10630098652035185,0.010198824412639352,0.013547792597529732,0.013547792597529732,Mottai Dam,place,17.75
place::ChIJdxLncnIpBDsRVTR-LGvw5IE,0.4779874213836478,0.01254544489557625,0.536251572327044,0.0,0.10666894241523865,0.010551403112810357,0.013599300603101194,0.013599300603101194,Courtallam Tenkasi Road Taj Mahal taxi parking,place,18.5
place::ChIJn6PVEciBBjsRUaH9qRKGb0A,0.4716981132075472,0.003993843377650399,0.5405761817812944,0.0,0.11164745905076351,0.009420719771865314,0.013784972612300867,0.013784972612300871,Ariharanathi falls,place,19.125
place::ChIJR_7XweMrBDsR-Deh8t3QKaE,0.4779874213836478,0.0007762120850250776,0.5427647493188705,0.0,0.1109905714671695,0.009940721682811847,0.01390762551867704,0.013907625518677039,NSP falls,place,19.5
place::ChIJGdrFgPSFBjsRhm_nL3wfsO8,0.46540880503144655,0.030172756946103014,0.5319956074673057,0.0,0.10724543254238202,0.01017681334801443,0.01338788123372357,0.013387881233723573,Kadayanallur Karuppanadhi Dam,place,20.125
