node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,katz_centrality,pagerank,hits_hub,hits_authority,label,node_type,average_rank
user::rijas_galleria,0.02197802197802198,0.017898080827929524,0.06321768119520929,0.0,0.03923255868080444,0.003635648524505134,0.04739673718869285,0.04739673718869282,Rijas Galleria,user,2.125
user::raghu_b,0.019230769230769232,0.005195973215230436,0.05397001080454318,0.0,0.03924020667829717,0.003572655652550686,0.07187803638494357,0.07187803638494353,Raghu B,user,3.125
user::sarath_kumar_s,0.016483516483516484,0.006937411511001607,0.0552960552960553,0.0,0.03849626253416748,0.002790157793302168,0.03993912610035686,0.03993912610035685,Sarath Kumar S,user,5.5
user::akhil_raj,0.016483516483516484,0.010943664313678068,0.05307899647522289,0.0,0.03847734789016907,0.0029316869456414065,0.016371695568937285,0.01637169556893729,Akhil Raj,user,8.0
user::ganesh_m,0.016483516483516484,0.005250767114591048,0.05233835931510351,0.0,0.038477364875101214,0.0028943427851430992,0.016023904259434913,0.016023904259434906,Ganesh M,user,9.25
user::hari_trivedi,0.015109890109890112,0.0019272337016491073,0.04278611122717587,0.0,0.038485168871112634,0.0027945439664054926,0.0517476006718607,0.05174760067186067,Hari Trivedi,user,10.375
user::shotsby_senthil,0.02197802197802198,0.012345632359387517,0.05233835931510351,0.0,0.03921352674102423,0.0038294381741797944,0.008453862447967767,0.008453862447967751,Shotsby Senthil,user,12.25
user::hassan_sowkath,0.01098901098901099,0.009528470154329852,0.05755880947696805,0.0,0.03774139431276032,0.0019010559980268944,0.01537900849523692,0.015379008495236922,Hassan Sowkath,user,14.75
user::ramesh_kumar,0.009615384615384616,0.0024713938056441496,0.052582931087603986,0.0,0.03776415940406935,0.001795410380558786,0.05076492024139067,0.05076492024139071,Ramesh Kumar,user,16.25
user::akhilesh_prajapati,0.01098901098901099,0.0018900746204735203,0.04254346787428073,0.0,0.037733846397243566,0.0020245135621018867,0.0272956278436178,0.027295627843617814,Akhilesh Prajapati,user,18.0
user::we_make_the_impossible_things,0.01098901098901099,0.001874329247094034,0.047681132426895145,0.0,0.03772625744778964,0.002105567623511987,0.013008575198552131,0.013008575198552131,We Make The Impossible Things,user,18.5
user::muthukrishnan_shenbagam,0.016483516483516484,0.006953156884381093,0.04395604395604396,0.0,0.03847345644838266,0.0030060361577779675,0.005736958949094572,0.005736958949094572,Muthukrishnan Shenbagam,user,18.5
user::pooja_devi,0.01098901098901099,0.001874329247094034,0.047580326650094096,0.0,0.037733766351906395,0.002043467852301128,0.012676305709027813,0.012676305709027816,Pooja Devi,user,18.875
user::g_t_g,0.01098901098901099,0.001874329247094034,0.047580326650094096,0.0,0.037733766351906395,0.002043467852301128,0.012676305709027813,0.012676305709027811,G T G,user,19.0
user::mukilan_s,0.01098901098901099,0.003992396874102514,0.051975737887978074,0.0,0.037741296862010824,0.0019187661579925042,0.009078973604418502,0.009078973604418505,Mukilan S,user,21.875
user::mani_kandan,0.016483516483516484,0.0065741882405274035,0.04294941699521852,0.0,0.038477271005996176,0.002926517003192083,0.003141705989733239,0.0031417059897332496,Mani Kandan,user,23.625
user::deva_pavi,0.01098901098901099,0.001874329247094034,0.044302154538375015,0.0,0.03772623595885271,0.0020678157287906027,0.005542530079425961,0.005542530079425957,Deva Pavi,user,26.875
user::rgr_raj_thiyagarajan,0.01098901098901099,0.001874329247094034,0.04294941699521852,0.0,0.037729934024216004,0.0020926214687288997,0.004881427673210143,0.004881427673210141,Rgr Raj Thiyagarajan,user,28.0
user::aneesh_antony,0.016483516483516484,0.003688196260410841,0.03629918468628146,0.0,0.03846218912306573,0.003141900841344549,0.0018847498177357233,0.0018847498177357307,Aneesh Antony,user,36.125
user::selva_selva,0.01098901098901099,0.001874329247094034,0.041218854405667596,0.0,0.037726160829148425,0.0021375482435799786,0.002320258986072993,0.002320258986072995,Selva Selva,user,36.875
user::amol_mande,0.015109890109890112,0.0025545293770878365,0.03549762540298818,0.0,0.03846981492560043,0.0029407957322287893,0.0014760261336206352,0.0014760261336206355,Amol Mande,user,38.625
user::sandhu_santhakumar,0.009615384615384616,0.0006802001299938026,0.03527506975782838,0.0,0.03773748324035189,0.001963026468716245,0.0013254865148949694,0.0013254865148949783,Sandhu Santhakumar,user,51.375
user::abdul_rahman,0.02197802197802198,0.00036277340266336136,0.02197802197802198,0.0,0.039194574105698696,0.004256377415556313,9.640019478792798e-18,1.5516394232961948e-17,Abdul Rahman,user,52.75
user::anandtvl,0.016483516483516484,0.0005441601039950421,0.01798201798201798,0.0,0.03845841363904595,0.0031660513922676286,3.004938438981185e-18,3.339397889267898e-18,Anandtvl,user,59.125
user::kumaresan_lakshmanan,0.01098901098901099,0.0005441601039950421,0.01978021978021978,0.0,0.037729837127286114,0.002079267020983309,1.973409784607946e-18,1.3661173183368673e-18,Kumaresan Lakshmanan,user,72.125
user::ashwin_ashwin,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483871996,0.00233328721350734,1.5683586944154631e-18,3.688305938935724e-18,Ashwin Ashwin,user,72.25
user::pon_raja,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483871996,0.00233328721350734,2.1086633036765304e-19,2.9676948650560628e-18,Pon Raja,user,86.875
user::srivenkatbabu_sinnasami,0.01098901098901099,0.0003023111688861345,0.016483516483516484,0.0,0.0377223645554213,0.002151968522768404,1.6532400555417599e-19,1.804624111877096e-18,Srivenkatbabu Sinnasami,user,87.5
user::thavasikumar_c,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483872,0.00233328721350734,1.7496184205754335e-18,4.3270922776025e-19,Thavasikumar C,user,90.0
user::muthu_krishnan_shanmugam,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483871996,0.00233328721350734,1.7009926429735065e-19,1.433448139099805e-18,Muthu Krishnan Shanmugam,user,94.75
user::sivashankar_r,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483872,0.00233328721350734,1.5775635741261161e-19,1.4422762506284094e-18,Sivashankar R,user,94.875
user::subash,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483871996,0.00233328721350734,9.031515078948257e-19,2.582552029263368e-19,Subash,user,98.375
user::abdul_kader,0.01098901098901099,6.04622337772269e-05,0.01098901098901099,0.0,0.037714816483871996,0.00233328721350734,1.4631392789087121e-18,1.3993215587131106e-19,Abdul Kader,user,103.0
user::vinoth_kumar,0.01098901098901099,0.0003023111688861345,0.016483516483516484,0.0,0.037722364555421314,0.002151968522768404,7.637503355178835e-19,-3.3731291810786845e-20,Vinoth Kumar,user,109.5
user::pratheesh_harish,0.005494505494505495,3.1490746758972347e-06,0.051736768978148294,0.0,0.037009325715332685,0.0009740945301629567,0.028990124663229585,0.02899012466322958,Pratheesh Harish,user,111.75
user::raj_p,0.005494505494505495,1.889444805538341e-05,0.0419096731945894,0.0,0.03699809794333003,0.0009911265865980745,0.02793325842324716,0.027933258423247176,Raj P,user,115.375
user::athulya_vijayan,0.005494505494505495,1.889444805538341e-05,0.0419096731945894,0.0,0.03699809794333003,0.0009911265865980745,0.02793325842324716,0.027933258423247165,Athulya Vijayan,user,115.5
user::shibin_as,0.005494505494505495,1.574537337948617e-05,0.04222419231800095,0.0,0.03699794561666256,0.0010248140169155718,0.024174030746505704,0.02417403074650571,Shibin As,user,116.125
user::narayanamurthy_subramanian,0.005494505494505495,1.574537337948617e-05,0.04222419231800095,0.0,0.03699794561666253,0.0010248140169155718,0.024174030746505704,0.024174030746505683,Narayanamurthy Subramanian,user,116.375
user::nithin_sasikumar,0.005494505494505495,0.0,0.04979091704755422,0.0,0.03699415081989985,0.0010504246764675657,0.012162317106402915,0.012162317106402927,Nithin Sasikumar,user,117.25
user::solo_traveller,0.005494505494505495,0.0,0.04979091704755422,0.0,0.036994150819899846,0.0010504246764675657,0.012162317106402915,0.012162317106402922,Solo Traveller,user,117.5
user::muhassin_ps,0.005494505494505495,0.0,0.04979091704755422,0.0,0.036994150819899846,0.0010504246764675657,0.012162317106402918,0.012162317106402915,Muhassin Ps,user,117.5
user::venkat,0.005494505494505495,0.0,0.041599805000914064,0.0,0.03698666072308376,0.0010920527274808191,0.016939920016601006,0.016939920016601013,Venkat,user,118.75
user::chitra_murali,0.005494505494505495,0.0,0.041599805000914064,0.0,0.03698666072308372,0.0010920527274808191,0.016939920016601006,0.016939920016601013,Chitra Murali,user,119.125
user::sathishkumar_balakrishnan,0.005494505494505495,0.0,0.041599805000914064,0.0,0.03698666072308374,0.0010920527274808191,0.016939920016601002,0.016939920016601016,Sathishkumar Balakrishnan,user,119.125
user::rahul_s,0.005494505494505495,0.0,0.041599805000914064,0.0,0.03698666072308373,0.0010920527274808191,0.016939920016601006,0.01693992001660101,Rahul S,user,119.25
user::ramakrishnan_v,0.005494505494505495,0.0,0.05138240754679111,0.0,0.03699043388264024,0.0010395073110971247,0.011972985575805962,0.011972985575805962,Ramakrishnan V,user,119.625
user::nadarajan_muthukumarasamy,0.005494505494505495,0.0,0.05138240754679111,0.0,0.03699043388264025,0.0010395073110971247,0.011972985575805962,0.01197298557580596,Nadarajan Muthukumarasamy,user,119.625
user::g_p_suresh_gopal_cabs_ngl,0.005494505494505495,0.0,0.04728045064179518,0.0,0.03699035743382727,0.001081054215384223,0.011520881608574514,0.011520881608574516,G P Suresh Gopal Cabs Ngl,user,119.75
user::adv_deepi_ashok,0.005494505494505495,0.0,0.04728045064179518,0.0,0.03699035743382725,0.001081054215384223,0.011520881608574514,0.01152088160857452,Adv Deepi Ashok,user,119.875
user::rajiv_kumar_velsamy,0.005494505494505495,0.0,0.04728045064179518,0.0,0.03699035743382726,0.001081054215384223,0.011520881608574514,0.011520881608574516,Rajiv Kumar Velsamy,user,119.875
user::sethu_m,0.005494505494505495,0.0,0.05138240754679111,0.0,0.03699043388264018,0.0010395073110971247,0.011972985575805962,0.011972985575805959,Sethu M,user,120.0
user::anu,0.005494505494505495,0.0,0.04718133020019813,0.0,0.036997865579411385,0.0010422738668047818,0.011226611298988479,0.011226611298988477,Anu,user,121.0
user::pooshan_d,0.005494505494505495,0.0,0.04881886009868657,0.0,0.03699411142555273,0.0010313594231320148,0.005271702053010254,0.005271702053010252,Pooshan D,user,124.375
user::mohammed_nayeem,0.005494505494505495,0.0,0.04881886009868657,0.0,0.03699411142555273,0.0010313594231320148,0.005271702053010252,0.005271702053010253,Mohammed Nayeem,user,124.375
user::abey_johnsen,0.005494505494505495,0.0,0.04238322882390679,0.0,0.03698288435686985,0.0011134108687389196,0.00941268898957719,0.009412688989577183,Abey Johnsen,user,126.375
user::sreehari_s,0.005494505494505495,0.0,0.04238322882390679,0.0,0.03698288435686984,0.0011134108687389196,0.009412688989577188,0.009412688989577188,Sreehari S,user,126.375
user::vj_saba,0.005494505494505495,0.0,0.04262404262404263,0.0,0.036994033638854125,0.0010767523470132587,0.004323175247519251,0.004323175247519251,Vj Saba,user,126.5
user::parvathy_r,0.005494505494505495,0.0,0.04238322882390679,0.0,0.03698288435686983,0.0011134108687389196,0.009412688989577188,0.00941268898957719,Parvathy R,user,126.5
user::sajikumar_js,0.005494505494505495,0.0,0.04238322882390679,0.0,0.03698288435686984,0.0011134108687389196,0.009412688989577188,0.009412688989577186,Sajikumar Js,user,126.5
user::santhana_pandi,0.005494505494505495,0.0,0.04262404262404263,0.0,0.03699403363885408,0.0010767523470132587,0.004323175247519251,0.004323175247519252,Santhana Pandi,user,126.5
