:START_ID(User),:END_ID(Place),rating,review_text,:TYPE
mukilan_s,ChIJSbdL6FwpBDsRe3ls0A6mwDI,5,"One of the best looking waterfalls, recently undertaken by forest department, no plastics are allowed within 500m radius, no shops inside for food anymore. The railings are removed and the falls is far more easily accessible now. One of the best place to visit during season",REVIEWED
shotsby_senthil,ChIJSbdL6FwpBDsRe3ls0A6mwDI,5,"From car parking to falls take around 1km hill walk else auto or bus available frequently.. u can access.. big car parking,   fruits and tea shop available... when I visit less waters flows..",REVIEWED
mohammed_nayeem,ChIJSbdL6FwpBDsRe3ls0A6mwDI,3,"It is not as good as five falls. It is very narrow compared to five falls. Moreover you have to walk quiet a long distance leaving your vehicle back.
Autorickshaw charge anywhere between 80 to 100 rupees.",REVIEWED
pooshan_d,ChIJSbdL6FwpBDsRe3ls0A6mwDI,4,Good falls. Not much of rush. People were less compared to other falls. No shops nearby. It’s recommended to take autos because it will take some distance to visit from parking,REVIEWED
hassan_sowkath,ChIJSbdL6FwpBDsRe3ls0A6mwDI,5,Cool spot especially for kids. But now you have to go by auto or govt bus for the final few kms. Theres plenty of auto (Fare is 100) and frequent bus trips (fare is 10 per person). And a huge parking space for your vehicles on the boarding point.,REVIEWED
pooja_devi,ChIJK_vW_PgqBDsRl61YBJHIHuY,5,"The “Spa of South India” — truly refreshing!
Kuttalam is one of the most beautiful and popular waterfall destinations in Tamil Nadu. The water here feels so pure and cool — bathing under the falls is a refreshing experience that relaxes both body and mind. Surrounded by lush green Western Ghats, the place looks magical, especially during the monsoon season.

There are several falls nearby — Main Falls, Five Falls, Old Falls — each with its own charm. The area also has plenty of local shops, snacks, and herbal oil massages that make the visit even more memorable.

A perfect place for a family trip or weekend getaway! 🌿💦🌧️",REVIEWED
stella_sharon,ChIJK_vW_PgqBDsRl61YBJHIHuY,5,"Five Falls in Courtallam is a refreshing and beautiful natural destination that truly lives up to its name. The waterfall splits into five streams, creating a scenic and calming atmosphere, especially during the monsoon and post-monsoon season. The water feels very refreshing and is believed to have natural medicinal benefits, making the experience even more special.
The place is well-maintained with basic facilities like changing rooms, restrooms, and parking, which makes it convenient for families and tourists. The surrounding greenery adds to the charm and makes it a great spot to relax and enjoy nature.
It does get crowded during weekends and holidays, so visiting early in the morning is recommended for a more peaceful experience. During heavy rains, bathing restrictions may be imposed for safety, which is understandable.
Overall, Five Falls is a must-visit attraction in Courtallam for nature lovers. A perfect place to unwind, enjoy the cool waters, and spend quality time amidst nature.",REVIEWED
saravanan_manohar,ChIJK_vW_PgqBDsRl61YBJHIHuY,4,"Courtallam Five Falls is a beautiful and refreshing spot surrounded by nature. The water flow is strong and clean, especially during the season, and bathing here feels very relaxing. The area can get crowded during weekends and festival days, so visiting early in the morning is better for a peaceful experience.

The place has parking facilities, but the toilets and dress-changing rooms need improvement and better maintenance. Overall, it’s a great spot to enjoy nature, but some basic facilities could be developed to make the visit more comfortable.",REVIEWED
beardless_tripy_venkateshprasath,ChIJK_vW_PgqBDsRl61YBJHIHuY,5,not require any entry tickets and there is plenty of space available for car parking small crunchy bites and snack stalls are also available nearby the water is completely natural and very cold which makes the bathing experience refreshing there are separate bathing areas for men and women which is good for privacy and safety it is a suitable place for families and friends to enjoy together the surroundings are full of greenery and the sound of the waterfall adds to the relaxing atmosphere it is a perfect spot to enjoy nature and spend a fun time...🥳😁✨️,REVIEWED
gowri_shankar,ChIJK_vW_PgqBDsRl61YBJHIHuY,5,Very big natural herbal water fall in south India and big in tamilnadu. Many tourist around india visiting to take natural bath.  There are many falls in the town. Several can spend 1 - 2 days take only bath in natural falls in the town. Very refreshing and stress release. Post bath must visit kutralanathar sivan temple associated with falls as history.,REVIEWED
