:START_ID(User),:END_ID(User),weight,:TYPE
hassan_sowkath,mohammed_nayeem,1.0,SIMILAR_USER
hassan_sowkath,mukilan_s,1.0,SIMILAR_USER
hassan_sowkath,pooshan_d,1.0,SIMILAR_USER
hassan_sowkath,shotsby_senthil,1.0,SIMILAR_USER
hassan_sowkath,nadarajan_muthukumarasamy,1.0,SIMILAR_USER
hassan_sowkath,ramakrishnan_v,1.0,SIMILAR_USER
hassan_sowkath,rijas_galleria,1.0,SIMILAR_USER
hassan_sowkath,sethu_m,1.0,SIMILAR_USER
mohammed_nayeem,mukilan_s,1.0,SIMILAR_USER
mohammed_nayeem,pooshan_d,1.0,SIMILAR_USER
mohammed_nayeem,shotsby_senthil,1.0,SIMILAR_USER
mukilan_s,pooshan_d,1.0,SIMILAR_USER
mukilan_s,shotsby_senthil,1.0,SIMILAR_USER
mukilan_s,deva_pavi,1.0,SIMILAR_USER
mukilan_s,future_tricks2_0,1.0,SIMILAR_USER
mukilan_s,ganesh_m,1.0,SIMILAR_USER
mukilan_s,muhammed_salih_ahamed_athaullah,1.0,SIMILAR_USER
pooshan_d,shotsby_senthil,1.0,SIMILAR_USER
shotsby_senthil,dinesh_e,1.0,SIMILAR_USER
shotsby_senthil,selva_selva,1.0,SIMILAR_USER
shotsby_senthil,writer_and_traveller,1.0,SIMILAR_USER
shotsby_senthil,ச_ர_ந_தர__க_ம_ர,1.0,SIMILAR_USER
shotsby_senthil,esakki_raj,1.0,SIMILAR_USER
shotsby_senthil,mani_kandan,1.0,SIMILAR_USER
shotsby_senthil,mani_kandan_s,1.0,SIMILAR_USER
shotsby_senthil,sakthivel_p,1.0,SIMILAR_USER
shotsby_senthil,akhil_das,1.0,SIMILAR_USER
shotsby_senthil,aswin,1.0,SIMILAR_USER
shotsby_senthil,rahul_hari,1.0,SIMILAR_USER
shotsby_senthil,raji_ramya,1.0,SIMILAR_USER
beardless_tripy_venkateshprasath,gowri_shankar,1.0,SIMILAR_USER
beardless_tripy_venkateshprasath,pooja_devi,1.0,SIMILAR_USER
beardless_tripy_venkateshprasath,saravanan_manohar,1.0,SIMILAR_USER
beardless_tripy_venkateshprasath,stella_sharon,1.0,SIMILAR_USER
gowri_shankar,pooja_devi,1.0,SIMILAR_USER
gowri_shankar,saravanan_manohar,1.0,SIMILAR_USER
gowri_shankar,stella_sharon,1.0,SIMILAR_USER
pooja_devi,saravanan_manohar,1.0,SIMILAR_USER
pooja_devi,stella_sharon,1.0,SIMILAR_USER
pooja_devi,anu,1.0,SIMILAR_USER
pooja_devi,g_t_g,1.0,SIMILAR_USER
pooja_devi,ganesh_m,1.0,SIMILAR_USER
pooja_devi,sarath_kumar_s,1.0,SIMILAR_USER
saravanan_manohar,stella_sharon,1.0,SIMILAR_USER
athulya_vijayan,hari_trivedi,1.0,SIMILAR_USER
athulya_vijayan,raghu_b,1.0,SIMILAR_USER
athulya_vijayan,raj_p,1.0,SIMILAR_USER
athulya_vijayan,ramesh_kumar,1.0,SIMILAR_USER
hari_trivedi,raghu_b,2.0,SIMILAR_USER
hari_trivedi,raj_p,1.0,SIMILAR_USER
hari_trivedi,ramesh_kumar,1.0,SIMILAR_USER
